BASE_ADDR,SIDR_ADDR,HWCFG3,HWCFG2,HWCFG1,VER,IPID,SIDR,NAME,NOTES
40000000,400003fc,00000000,00012011,22030104,00000035,00120002,a3c5dd01,TIM2,
40000400,400007fc,00000000,00011011,22030104,00000035,00120002,a3c5dd01,TIM3,
40001000,400013fc,00000000,00001011,11000100,00000035,00120002,a3c5dd01,TIM6,
40001400,400017fc,00000000,00001011,11000100,00000035,00120002,a3c5dd01,TIM7,
40002800,40002bfc,00000000,00000300,10001111,00000035,00120033,a3c5dd01,RTC,
40002c00,40002ffc,00000000,00000000,00001000,00000021,00120051,a3c5dd01,WWDG,
40003000,400033fc,00000000,00000000,00000001,00000032,00120041,a3c5dd01,IWDG,
40003800,40003bfc,00000000,00000000,00011001,00000035,00130021,a3c5dd01,SPI2,
40003c00,40003ffc,00000000,00000000,00011001,00000035,00130021,a3c5dd01,SPI3,
40004400,400047fc,00000000,00000013,30111111,00000034,00130003,a3c5dd01,USART2,
40004800,40004bfc,00000000,00000010,00000001,00000034,00130003,a3c5dd01,USART3,
40004c00,40004ffc,00000000,00000010,00000001,00000034,00130003,a3c5dd01,USART4,
40005400,400057fc,00000000,00000000,00000110,00000021,00130012,a3c5dd01,I2C1,
40005800,40005bfc,00000000,00000000,00000000,00000021,00130012,a3c5dd01,I2C2,
40005000,40005ffc,00000000,00000000,00000008,00000011,00150002,a3c5dd04,USB,"screwed up size register"
40006c00,40006ffc,00000000,00000000,00004007,00000014,00150011,a3c5dd01,CRS,
40007400,400077fc,00000000,00000000,00001110,00000031,00110011,a3c5dd01,DAC,
40007c00,40007ffc,00000000,00000404,00010804,00000023,00120011,a3c5dd01,LPTIM1,
40008000,400083fc,00000000,00000003,31100000,00000034,00130003,a3c5dd01,LPUART1,
40008400,400087fc,00000000,00000003,31100000,00000034,00130003,a3c5dd01,LPUART2,
40008800,40008bfc,00000000,00000000,00000110,00000021,00130012,a3c5dd01,I2C3,
40008c00,40008ffc,00000000,00000003,31100000,00000034,00130003,a3c5dd01,LPUART3,
40009000,400093fc,00000000,00000404,00010804,00000023,00120011,a3c5dd01,LPTIM3,
40009400,400097fc,00000000,00000402,00000804,00000023,00120011,a3c5dd01,LPTIM2,
4000a000,4000a3fc,00000000,00000000,00000000,00000021,00130012,a3c5dd01,I2C4,
4000b000,4000b3fc,00000000,00300000,003c0509,00000035,00121033,a3c5dd01,TAMP,
40012400,400127fc,08070605,04030202,00000111,00000030,00110004,a3c5dd01,ADC,
40012c00,40012ffc,00000000,00011011,22332136,00000035,00120002,a3c5dd01,TIM1,
40013000,400133fc,00000000,00000000,00011001,00000035,00130021,a3c5dd01,SPI1,
40013800,40013bfc,00000000,00000013,30111111,00000034,00130003,a3c5dd01,USART1,
40014000,400143fc,00000000,00001011,12201112,00000035,00120002,a3c5dd01,TIM15,
40014400,400147fc,00000000,00001011,12201011,00000035,00120002,a3c5dd01,TIM16,
40020000,400203fc,00000000,00000000,01111111,00000013,00100001,a3c5dd01,DMA1,
40020400,400207fc,00000000,00000000,00011111,00000013,00100001,a3c5dd01,DMA2,
40020800,40020bfc,00000000,00000017,0417480c,00000021,00100011,a3c5dd01,DMAMUX,
40021800,40021bfc,00000000,003fffff,00051025,00000030,000e0001,a3c5dd01,EXTI,
40023000,400233fc,00000000,00000000,00000001,00000024,00170001,a3c5dd01,CRC,
40024000,400243fc,00000000,00000000,00000108,00000012,00110041,a3c5dd01,TSC,
40025000,400253fc,00000000,00000000,00000002,00000043,00170041,a3c5dd01,RNG,
40026000,400263fc,00000000,00000000,00000002,00000011,00170023,a3c5dd01,AES,
